Cell_Type	Genes
Adipocyte	ADIPOQ
Adipocyte	ADH1B
Adipocyte	LPL
Adipocyte	PPARG
Naive_B	MS4A1
Naive_B	CD79A
Naive_B	CD19
Naive_B	CD79B
Memory_B	CD27
Memory_B	TNFRSF13B
Plasma	MZB1
Plasma	SLAMF7
Plasma	PRDM1
Plasma	JCHAIN
Epithelial	EPCAM
Epithelial	KRT8
Epithelial	KRT18
Epithelial	CDH1
Basal	KRT5
Basal	KRT14
Basal	ACTA2
Luminal	FOXA1
Luminal	ESR1
Luminal	PGR
Luminal	GATA3
Luminal	ELF5
Tumor	ERBB2
Tumor	AR
Tumor	APOBEC3B
Tumor	MKI67
Endothelial	PECAM1
Endothelial	VWF
Endothelial	CD34
Endothelial	KDR
Pericyte	PDGFRB
Pericyte	RGS5
Pericyte	MYH11
Fibroblast	PDGFRA
Fibroblast	COL1A1
Fibroblast	MMP2
Fibroblast	DCN
Fibroblast	LUM
iCAF	CXCL12
iCAF	IGF1
iCAF	PTGDS
iCAF	FBLN1
iCAF	CCDC80
myCAF	POSTN
myCAF	LRRC15
myCAF	LOX
myCAF	MYLK
apCAF	CD74
apCAF	HLA-DRA
apCAF	SLPI
Dendritic	CLEC9A
Dendritic	CD86
Dendritic	IRF8
Dendritic	FCER1A
Mast	TPSAB1
Mast	CPA3
Mast	KIT
Macrophage	MRC1
Macrophage	C1QC
Macrophage	CD163
Macrophage	CD68
Macrophage	CSF1R
TAM	SPP1
TAM	APOE
TAM	TREM2
Monocyte	LYZ
Monocyte	S100A8
Monocyte	FCN1
Monocyte	VCAN
Neutrophil	CXCL8
Neutrophil	IL1B
CD4_T	CD4
CD4_T	IL7R
CD4_T	CD3E
CD8_T	CD8A
CD8_T	CD8B
CD8_T	GZMK
Treg	FOXP3
Treg	CTLA4
Treg	IL2RA
Ex_T	PDCD1
Ex_T	LAG3
Ex_T	HAVCR2
NK	NKG7
NK	GNLY
NK	KLRD1
Muscle	DES
Lymph.vessel	PROX1
Lymph.vessel	LYVE1
